Compute,Total
0.77388525,1.683366776
0.772782087,1.64762187
0.769310474,1.649060011
0.770923853,1.649787188
0.770437241,1.64752388
0.773514986,1.650285482
0.773904324,1.652275562
0.772927284,1.651381731
0.772269487,1.647734404
0.773376226,1.650479794
0.769142389,1.644141436
0.770253181,1.64726615
0.773167849,1.646854162
0.771304369,1.645857334
0.770413637,1.644528389
0.771557331,1.644828558
0.769455194,1.645966053
0.773384094,1.650157452
0.772365093,1.646107435
0.772420168,1.64678359
0.772326469,1.645894527
0.770735979,1.64700079
0.774097681,1.648884296
0.770751715,1.644436836
0.770589828,1.644212961
0.77403307,1.648979664
0.769672155,1.645215273
0.773890972,1.647289753
0.76926589,1.642694712
0.770815134,1.64519763
0.770506144,1.644171715
0.770388126,1.645307541
0.771929264,1.646009684
0.772390366,1.646772146
0.768550396,1.641778231
0.771334887,1.646226406
0.770213366,1.645201206
0.769585609,1.643441916
0.770995855,1.645575523
0.768462181,1.641780853
0.771067381,1.64545083
0.77167654,1.647314548
0.772823811,1.646677256
0.76956296,1.643321753
0.779439211,1.655314684
0.779976606,1.656807661
0.772424221,1.651171684
0.77322197,1.649232388
0.767349005,1.6425457
0.767952681,1.641168833
0.770633698,1.66041851
0.770095348,1.644422293
0.772129059,1.648436308
0.770624876,1.645441294
0.77007103,1.644086838
0.769605398,1.645653009
0.770819664,1.645348072
0.770024538,1.643634796
0.76955533,1.644719601
0.770552397,1.644677639
0.772018671,1.646989346
0.769427299,1.643484831
0.770450354,1.646406412
0.768849373,1.642214298
0.771790743,1.647342443
0.770930052,1.64443326
0.774493456,1.650395632
0.776205301,1.651206493
0.771619797,1.645185709
0.769634485,1.643747807
0.770106077,1.643635988
0.770798922,1.645413637
0.769916296,1.645798683
0.769335508,1.642796278
0.770320177,1.644833326
0.771066904,1.647634983
0.767357349,1.641050577
0.769489527,1.643126726
0.768602371,1.642187119
0.770445108,1.645117044
0.769216537,1.643612385
0.773445606,1.651163816
0.772245169,1.648388863
0.770610571,1.646279335
0.770459414,1.645305395
0.769835711,1.643885374
0.769282103,1.645183563
0.768727541,1.642866373
0.771175861,1.645854235
0.768297911,1.642332315
0.768345594,1.642126322
0.771517754,1.647620201
0.771152973,1.64551568
0.780045986,1.655836344
0.791640759,1.670322418
0.785527468,1.661967516
0.771118402,1.647282124
0.77145648,1.645775557
0.770938873,1.644972324
0.770710468,1.645466089
0.770210028,1.665643454
0.769702911,1.64323473
0.767607212,1.642487288
0.768620729,1.641710043
0.770283699,1.644567013
0.770720959,1.644678116
0.770203829,1.64336133
0.772186995,1.646525621
0.772618055,1.647573471
0.770599604,1.644146442
0.770617485,1.645155907
0.769939899,1.644224882
0.769632101,1.643868208
0.770081997,1.643692255
0.768021584,1.641813278
0.772328138,1.647411346
0.768560648,1.643302917
0.779022932,1.654126883
0.772917747,1.649179935
0.770535707,1.645738602
0.767542124,1.641637802
0.767583609,1.641045809
0.769739866,1.643671274
0.772200823,1.647547722
0.767577887,1.641463757
0.768274784,1.641463757
0.770522833,1.646381617
0.771716118,1.646808624
0.771152258,1.645123005
