Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.233493328,8.39550209,1.425670147,6.404984474,40.90839028,44.72705102
1.245088816,8.447698116,1.435974121,6.426465273,40.91106868,44.63167953
1.19066,7.855779409,1.437585592,6.463643551,41.04399848,44.91909432
1.193762064,7.934056759,1.435970068,6.443090916,40.92823863,44.76301885
1.192726135,8.079661608,1.438524961,6.419628859,40.89412594,44.68332314
1.192219019,7.918844461,1.455276966,6.480700493,40.87848639,44.69585609
1.189254522,7.913233519,1.420484543,6.386702776,40.94362783,44.79766893
1.190509796,7.996905804,1.431427479,6.447625637,40.85640168,44.70031047
1.188711166,7.887891769,1.456074953,6.505445004,40.86466932,44.63271546
1.190240622,7.946073771,1.420265436,6.38374114,41.00389004,44.80005479
1.186920643,7.8437953,1.424618483,6.408998251,40.89521003,44.66791534
1.189353704,7.907465696,1.420677423,6.358132124,40.89082861,44.67205572
1.189205408,8.020679474,1.425311804,6.402597666,40.91970992,44.76025295
1.188277483,8.060286999,1.416603565,6.371153355,40.91182041,44.68956399
1.186502695,7.92253232,1.424149036,6.387270689,40.90662193,44.74689436
1.187573671,8.115499496,1.430989265,6.414400101,40.91100383,44.92521
1.187686205,7.983264446,1.425340891,6.408593416,41.140239,45.47822547
1.189637423,7.912914753,1.434151173,6.371991158,41.05633831,45.33502126
1.187591076,7.952723503,1.417690754,6.357861757,40.9280591,44.75816941
1.189534426,7.891015291,1.437455893,6.380029678,40.89667034,44.67243099
1.777160406,10.40682435,1.503731728,6.715470076,40.88876009,44.67005539
2.822543144,13.79492974,1.631709099,7.538943291,40.89281464,44.64242291
1.281178474,9.339469671,1.419472218,6.398075342,40.9456172,44.71441007
1.279920578,9.103350401,1.421571493,6.391225576,41.00298715,44.80845428
1.281835556,9.124981165,1.425285816,6.375335217,40.89802265,44.72171474
1.285475254,9.349402428,1.420631647,6.375398636,40.8856461,44.66594791
1.271979094,9.262440205,1.433478117,6.422094345,40.93733597,44.69064069
1.263596773,9.168518305,1.429401875,6.393127918,40.89027834,44.66635513
1.264032602,9.251592398,1.438881159,6.412731409,40.93868995,44.704458
1.265521765,9.232750177,1.430165291,6.401505947,41.02377152,44.84965825
1.264996529,9.083994627,1.419103861,6.383861303,40.92711115,44.74638343
2.337402344,12.3590734,1.444605112,6.502215385,40.9513278,44.74959779
2.85869813,13.84618425,1.42587471,6.412471533,40.9003365,44.71241713
1.55506897,9.207726955,1.418756723,6.475012064,40.91895485,44.73405647
1.188506365,8.039989233,1.435722828,6.445287704,40.87335086,44.73023677
1.189091682,8.026462793,1.433832407,6.429318428,40.85845447,44.67469859
1.191313982,8.084194183,1.431895018,6.410791636,40.97899508,44.76894999
1.190305233,8.025369406,1.440679073,6.478075266,40.89398789,44.63545012
1.188507557,7.963080883,1.430797338,6.426751375,40.89614248,44.70324636
1.210180521,7.982581615,1.437600374,6.429864883,40.9105525,44.68634081
1.188961744,8.033958912,1.43085289,6.458144903,40.88257933,44.73296571
1.190852642,8.050147772,1.426788568,6.379597187,40.87437248,44.6475141
1.188098669,8.078704834,1.427170753,6.426977158,40.91846251,44.78005338
1.194182158,8.035140753,1.45875144,6.562146664,40.95903635,44.75277781
1.198574543,8.122872114,1.429859638,6.447259188,40.90676999,44.62220407
1.188733816,8.151054382,1.432964325,6.482845783,40.96087265,44.80618739
1.194419622,8.178038597,1.426706076,6.398615599,40.91420269,44.65029716
1.194788218,8.097107172,1.436603308,6.404504061,40.92470956,44.74171567
1.190124273,7.881888151,1.421424627,6.352031708,40.93289995,44.69026732
1.189605474,8.04046464,1.420915604,6.384576321,41.03146386,44.89023376
1.189628839,8.053143978,1.42410183,6.384566784,40.90729761,44.69019747
1.190634012,7.979162455,1.437292099,6.402953625,40.88609338,44.74304676
1.191416264,7.979055405,1.431995153,6.416182041,40.89983511,44.68283415
1.190609694,8.129941463,1.431681395,6.410680771,40.9136219,44.7791698
1.192305565,8.023655176,1.431085348,6.460088968,40.89254403,44.72404838
1.194278002,7.943597317,1.44503212,6.504560947,40.95535374,44.76685452
2.777828217,13.54908299,1.429112673,6.408230305,41.04120612,44.84764838
2.914476633,14.05482292,1.421794176,6.397641182,40.95685244,44.73625422
2.562530041,12.68284774,1.431516886,6.454997778,40.89084768,44.68478656
1.190740347,7.968324661,1.429971933,6.40843153,40.89344072,44.69227672
1.190685511,8.067095757,1.420144558,6.405442238,40.86938667,44.66833377
1.200548172,7.872447968,1.434259892,6.428905487,40.91425157,44.78126574
1.195602179,7.925867796,1.430805683,6.418518066,41.01272845,44.83231521
1.19389534,8.043701887,1.435567856,6.410838366,41.03271389,44.8732636
1.193439007,7.92839098,1.433933973,6.421124935,40.87396169,44.69163013
1.195204973,7.904707909,1.445747614,6.46404314,40.92047977,44.78879094
1.200672626,8.089265347,1.443842411,6.490347862,40.89591765,44.69841266
1.28070116,8.997462988,1.623471022,7.372783899,40.93426847,44.71648145
2.214287996,11.76045609,1.486524343,6.872719526,40.93027854,44.71534967
2.904579639,13.86464429,1.440233707,6.433969736,40.99628377,44.80792522
1.992052555,11.2808609,1.433306932,6.457851171,40.96921587,44.72220182
1.275677204,9.199641943,1.443804264,6.500672817,40.91668653,44.73057961
1.264760256,9.383694649,1.442993879,6.521297693,40.86722565,44.66310167
1.262315273,9.275379896,1.437920094,6.458561659,40.92136168,44.64387631
1.262584925,9.331539631,1.442424774,6.529375792,40.94049239,44.75533891
1.26332736,9.410476446,1.430260181,6.424959898,40.84736514,44.66557312
1.263961554,9.16803813,1.427809715,6.397611141,40.9327693,44.73966026
1.265151024,9.140192509,1.422495127,6.404088974,40.90270782,44.66469026
1.262718201,9.210863829,1.459928513,6.575620174,40.89454484,44.70167208
1.261660814,9.206048012,1.435872078,6.489363909,40.87850761,44.72933698
1.260885239,9.344922066,1.446341038,6.494328022,40.93282771,44.73264718
1.260578871,9.215596914,1.448675871,6.307480812,40.86985278,44.65398169
